secid,boardid,name,tradedate,price,price_open,price_low,price_high,price_waprice,volume,value,yield,yield_atwap,maturity_date,duration,offer_date,accint,coupon_percent,coupon_value,face_value,face_unit,board_group
AMUNIBB2DER6,TQCB,UBANK02/24,2024-01-19,101.2,,,,,0,0.0,,,2024-02-05,,,96.5912,5.3,1.33,100.0,USD,58
KG000A3LSC78,TQCB,Кыргыз. 01,2024-01-19,100.0,102.0,100.0,102.0,100.3077,13,1294.64,16.16,15.96,2025-12-25,20.5,,1.033333,15.5,3.88,100.0,KGS,58
KG000A3LSJ06,TQCB,Кыргыз. 02,2024-01-19,99.99,101.94,99.97,102.0,100.0,8285,828529.81,15.07,15.07,2025-12-26,20.7,,0.9264,14.5,3.63,100.0,RUB,58
RU000A0JQ5C5,TQIR,НПФ 01,2024-01-19,,,,,,0,0.0,,,2029-05-06,,,735.62,5.0,1000.55,1000.0,RUB,58
RU000A0JQ7Z2,TQCB,РЖД-19 обл,2024-01-19,97.4,97.43,97.22,97.44,97.32,348,338685.5,14.33,14.54,2024-07-08,5.6,,2.37,7.85,39.14,1000.0,RUB,58
RU000A0JQAM6,TQCB,ДОМ.РФ15об,2024-01-19,105.8,,,,,0,0.0,,,2028-09-15,1.77,,50.05,14.5,72.3,1000.0,RUB,58
RU000A0JQRD9,TQCB,РЖД-23 обл,2024-01-19,94.84,94.63,94.63,94.88,94.82,2946,2793404.8,14.08,14.1,2025-01-16,11.77,,0.22,7.85,39.14,1000.0,RUB,58
RU000A0JR4U9,TQCB,ГлДорога 3,2024-01-19,99.49,99.49,99.49,99.49,99.49,1,621.81,4.66,4.66,2028-10-30,9.57,,5.07,4.0,24.93,625.0,RUB,58
RU000A0JRJB8,TQCB,ЗСД 01,2024-01-19,109.82,,,,,0,0.0,,,2031-05-13,62.87,,16.88,10.44,52.06,1000.0,RUB,58
RU000A0JRJL7,TQCB,ЗСД 02,2024-01-19,117.89,144.96,117.89,144.96,124.66,12,14958.9,7.37,6.29,2031-05-13,66.27,,16.88,10.44,52.06,1000.0,RUB,58
RU000A0JRU20,TQCB,СЗКК 03,2024-01-19,96.42,,,,,0,0.0,,,2031-09-26,2.47,,17.35,8.15,30.07,740.0,RUB,58
RU000A0JRU46,TQCB,СЗКК 04,2024-01-19,99.72,,,,,0,0.0,,,2031-09-26,2.47,,17.35,8.15,30.07,740.0,RUB,58
RU000A0JRZ74,TQCB,БМБанкБ03,2024-01-19,82.21,82.21,82.21,82.21,82.21,1,822.1,14.14,14.14,2025-07-16,18.03,,0.0,0.01,0.05,1000.0,RUB,58
RU000A0JS4J1,TQCB,ЗСД 03,2024-01-19,114.0,,,,,0,0.0,,,2032-02-06,,,41.52,9.84,49.07,1000.0,RUB,58
RU000A0JS4K9,TQCB,ЗСД 04,2024-01-19,112.0,111.98,111.98,112.0,111.99,3,3359.6,7.96,7.96,2032-02-06,68.97,,41.52,9.84,49.07,1000.0,RUB,58
RU000A0JS4L7,TQCB,ЗСД 05,2024-01-19,116.0,,,,,0,0.0,,,2032-02-06,,,41.52,9.84,49.07,1000.0,RUB,58
RU000A0JS4Z7,TQCB,ВЭБ.РФ 21,2024-01-19,95.9,94.21,94.21,95.94,95.88,32,30681.3,13.85,13.87,2032-02-17,12.5,,36.36,9.28,46.27,1000.0,RUB,58
RU000A0JS934,TQCB,ЕАБР11,2024-01-19,96.0,96.0,96.0,96.0,96.0,1,960.0,14.37,14.37,2025-01-24,11.43,,45.55,9.5,47.37,1000.0,RUB,58
RU000A0JS9X1,TQIR,СитиматНН,2024-01-19,,,,,,0,0.0,,,2036-12-20,,,89.16,11.5,115.0,1000.0,RUB,58
