,AFKS_return,LKOH_return,RUAL_return,SBER_return,TATN_return,RISK_FREE_return,portfolio_return
2024-01-02,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-03,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-04,0.0,-0.0,0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-05,-0.0,0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-06,0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-07,0.0,-0.0,0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-08,0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-09,-0.0,0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-10,-0.0,0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-11,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-12,-0.0,-0.0,-0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-13,0.0,0.0,0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-14,-0.0,-0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-15,0.0,-0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-16,-0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-17,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-18,-0.0,-0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-19,-0.0,-0.0,-0.0,-0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-20,-0.0,-0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-21,-0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-22,0.0,0.0,-0.0,-0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-01-23,0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
